year,beef,pig,poultry,sheep
1991,0.7055,14.5729,1.9485,0.6401
1992,0.9413,15.5892,2.1968,0.6709
1993,1.1809,16.6971,2.7738,0.7295
1994,1.4318,18.084,3.1468,0.7795
1995,1.8363,18.3251,3.9881,0.9115
1996,1.8281,17.9695,3.9731,0.9387
1997,2.2592,20.3398,4.5264,1.0952
1998,2.4485,21.8204,4.9911,1.2003
1999,2.5792,21.7707,5.1943,1.2771
2000,2.6121,22.19,5.6056,1.3429
2001,2.5643,22.4353,5.4204,1.3761
2002,2.6228,22.6502,5.4284,1.428
2003,2.706,23.0915,5.6374,1.5395
2004,2.7634,23.3681,5.5264,1.6418
2005,2.7698,24.3893,5.8974,1.7177
2006,2.855,24.7338,6.052,1.7901
2007,3.0066,22.729,6.4718,1.8717
2008,2.9625,24.6086,6.8655,1.9042
2009,3.0026,25.7306,7.0475,1.9298
2010,2.9889,26.4847,7.1149,1.9391
2011,2.8773,26.4189,7.2076,1.9021
2012,2.905,27.7355,7.684,1.9404
2013,3.0171,28.354,7.5475,2.0154
2014,2.9998,28.9828,7.2338,2.0897
2015,3.0951,28.8042,7.4892,2.1046
2016,3.1406,28.041,7.7816,2.1814
2017,3.2648,27.7359,7.6822,2.2283
2018,3.4933,27.3451,8.0467,2.2664
2019,3.9192,22.0132,9.0919,2.3367
2020,4.2049,22.6989,9.9074,2.3429
2021,4.4372,28.0436,9.946,2.4675
2022,4.7353,28.2528,10.0945,2.4943
2023,4.9551,29.3847,10.1555,2.5414
2024,4.9904,29.3815,9.8811,2.5536